                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    113,                0.65447,                0.36739,                 1.0045,                0.93421,                0.92875,                 0.9726,                0.78913,                0.78039,                0.42489,                0.99285,              0.0015968,              0.0015968,              0.0015968
                    114,                0.64515,                0.35786,                0.99048,                0.94636,                0.92629,                0.97746,                0.78944,                0.78773,                0.40052,                 1.0006,              0.0015932,              0.0015932,              0.0015932
                    115,                0.63715,                0.35856,                0.98734,                0.92587,                0.93612,                0.97604,                0.79011,                0.78128,                0.42336,                0.99689,              0.0015896,              0.0015896,              0.0015896
                    116,                0.63247,                 0.3474,                0.97572,                0.93827,                0.93367,                0.97439,                0.79278,                0.76199,                0.40636,                0.98441,               0.001586,               0.001586,               0.001586
                    117,                0.64472,                 0.3523,                0.97866,                0.94556,                0.92875,                0.97395,                0.78795,                0.78539,                 0.4244,                0.99801,              0.0015824,              0.0015824,              0.0015824
                    118,                0.65188,                 0.3556,                0.98546,                0.93337,                0.94595,                0.97609,                0.79197,                0.76884,                0.41915,                0.99346,              0.0015788,              0.0015788,              0.0015788
                    119,                0.65262,                0.35649,                0.98721,                0.93977,                0.92629,                0.97474,                0.78576,                0.80419,                0.41197,                 1.0142,              0.0015752,              0.0015752,              0.0015752
                    120,                0.63287,                0.34684,                0.97344,                 0.9278,                0.94716,                0.97724,                0.80107,                0.77618,                0.40626,                0.99608,              0.0015716,              0.0015716,              0.0015716
                    121,                0.63818,                0.34845,                0.97895,                 0.9429,                0.93314,                0.96725,                0.78279,                 0.7784,                0.42963,                 1.0075,               0.001568,               0.001568,               0.001568
                    122,                 0.6374,                0.34415,                0.97937,                0.92632,                0.93612,                0.96825,                0.78326,                0.77976,                0.43403,                 1.0014,              0.0015644,              0.0015644,              0.0015644
                    123,                0.62964,                0.34802,                0.96742,                 0.9341,                 0.9403,                0.97155,                0.78735,                0.78257,                0.42591,                 1.0053,              0.0015608,              0.0015608,              0.0015608
                    124,                0.62627,                0.34181,                 0.9696,                0.93388,                0.93857,                0.97574,                0.79511,                0.77027,                0.40063,                0.98424,              0.0015572,              0.0015572,              0.0015572
                    125,                0.62833,                0.34195,                0.97676,                0.93733,                0.92138,                0.97501,                0.79404,                 0.7752,                0.42064,                0.99765,              0.0015536,              0.0015536,              0.0015536
