                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    107,                0.71935,                0.40582,                0.98301,                0.94149,                0.90928,                0.97253,                0.77197,                0.80444,                0.43308,                0.97611,              0.0016184,              0.0016184,              0.0016184
                    108,                0.71031,                0.40387,                0.97785,                0.92566,                0.91155,                0.97345,                0.78152,                0.80906,                0.42345,                 0.9802,              0.0016148,              0.0016148,              0.0016148
                    109,                0.72308,                0.41507,                0.99766,                0.93002,                 0.9312,                0.97573,                0.78877,                0.78752,                0.41923,                0.97547,              0.0016112,              0.0016112,              0.0016112
                    110,                0.70216,                0.40993,                0.98638,                0.93155,                0.90909,                0.96898,                0.77739,                0.78894,                0.43774,                0.97246,              0.0016076,              0.0016076,              0.0016076
                    111,                 0.7237,                0.40652,                0.97899,                0.93948,                0.92629,                0.97816,                0.77993,                0.81814,                0.41225,                 0.9867,               0.001604,               0.001604,               0.001604
                    112,                0.71431,                0.40813,                0.99216,                0.93426,                 0.9079,                0.97417,                0.77995,                0.79846,                 0.4378,                0.97545,              0.0016004,              0.0016004,              0.0016004
                    113,                0.71616,                0.41183,                 1.0052,                0.94045,                0.89253,                0.97242,                0.77418,                0.78616,                 0.4206,                0.97348,              0.0015968,              0.0015968,              0.0015968
                    114,                0.71436,                0.40961,                0.99407,                0.93082,                0.92875,                0.97567,                0.78687,                0.79235,                0.42284,                0.97224,              0.0015932,              0.0015932,              0.0015932
                    115,                0.71406,                0.41531,                0.99276,                0.94215,                0.91646,                0.97521,                0.77717,                0.79519,                0.43103,                0.97496,              0.0015896,              0.0015896,              0.0015896
                    116,                0.69489,                0.39886,                0.98189,                0.94672,                0.89681,                0.97621,                0.78948,                0.78793,                0.41389,                0.97279,               0.001586,               0.001586,               0.001586
                    117,                0.69947,                0.40134,                0.98729,                0.95931,                0.89189,                0.97406,                0.78933,                0.79218,                0.41853,                0.97712,              0.0015824,              0.0015824,              0.0015824
                    118,                0.72607,                0.41487,                0.99563,                0.93239,                0.91484,                0.97581,                0.78315,                0.80041,                0.44012,                0.97909,              0.0015788,              0.0015788,              0.0015788
                    119,                0.72701,                0.40892,                0.99209,                0.95719,                0.88943,                0.97271,                0.78085,                0.78595,                0.41468,                0.96961,              0.0015752,              0.0015752,              0.0015752
                    120,                0.70818,                0.39822,                0.98725,                0.90758,                0.94101,                0.97643,                 0.7865,                0.79374,                0.40728,                0.97278,              0.0015716,              0.0015716,              0.0015716
                    121,                0.70749,                0.40416,                0.98934,                0.91664,                0.92383,                0.97401,                0.78803,                0.78822,                0.41469,                0.97711,               0.001568,               0.001568,               0.001568
                    122,                0.71317,                0.39792,                0.98728,                0.92264,                0.90844,                0.96988,                0.78578,                0.77855,                0.44433,                0.96492,              0.0015644,              0.0015644,              0.0015644
                    123,                0.70177,                0.40388,                0.97525,                0.93468,                0.91418,                0.97177,                0.78249,                 0.7969,                0.42478,                0.97541,              0.0015608,              0.0015608,              0.0015608
                    124,                 0.6914,                0.39152,                0.97661,                0.94246,                  0.914,                0.97376,                0.78779,                0.77203,                0.41819,                0.96449,              0.0015572,              0.0015572,              0.0015572
                    125,                0.70604,                0.40054,                0.98766,                0.91694,                0.92875,                0.97435,                0.78864,                0.78773,                0.41771,                0.96983,              0.0015536,              0.0015536,              0.0015536
                    126,                0.69442,                 0.4029,                0.98879,                0.93238,                0.90909,                0.97453,                0.78815,                0.77937,                0.41127,                0.97012,                0.00155,                0.00155,                0.00155
                    127,                0.69866,                0.40559,                0.99159,                0.93308,                  0.914,                0.97555,                 0.7821,                 0.7841,                0.41615,                0.97445,              0.0015464,              0.0015464,              0.0015464
                    128,                 0.6952,                0.39352,                 0.9864,                0.91909,                 0.9312,                0.97583,                 0.7892,                0.79164,                0.39806,                0.97694,              0.0015428,              0.0015428,              0.0015428
                    129,                0.69718,                0.39124,                0.98278,                0.93328,                0.92799,                0.97662,                0.78293,                0.80515,                0.42072,                0.98095,              0.0015392,              0.0015392,              0.0015392
                    130,                0.69073,                0.39123,                 0.9788,                0.92385,                0.92629,                0.97599,                0.78939,                0.79002,                0.40891,                0.97349,              0.0015356,              0.0015356,              0.0015356
                    131,                0.69454,                0.39049,                  0.977,                0.94948,                0.92347,                0.97678,                0.78532,                0.79205,                0.39985,                0.97552,               0.001532,               0.001532,               0.001532
                    132,                0.69478,                0.38939,                 0.9811,                 0.9362,                0.93741,                0.97877,                0.79956,                0.77502,                0.39094,                0.97589,              0.0015284,              0.0015284,              0.0015284
                    133,                0.70326,                0.39425,                 0.9865,                0.94061,                0.93612,                0.97712,                 0.7952,                0.77934,                0.39177,                0.97081,              0.0015248,              0.0015248,              0.0015248
                    134,                0.69237,                0.38866,                0.97269,                0.94137,                 0.9074,                0.97412,                0.79083,                0.78193,                0.40789,                0.97573,              0.0015212,              0.0015212,              0.0015212
                    135,                0.69782,                0.39314,                0.98099,                0.89783,                0.95577,                0.97636,                0.79369,                0.77413,                0.41281,                0.96967,              0.0015176,              0.0015176,              0.0015176
                    136,                0.69234,                0.38403,                0.96962,                 0.9356,                0.92805,                0.97428,                 0.7916,                0.76943,                0.40544,                0.96504,               0.001514,               0.001514,               0.001514
                    137,                0.69719,                 0.3939,                0.98577,                0.92884,                0.93366,                0.97636,                0.79444,                0.77394,                 0.4021,                0.96566,              0.0015104,              0.0015104,              0.0015104
                    138,                0.68203,                0.38492,                0.96899,                0.93696,                0.93612,                0.97634,                0.77981,                0.79121,                0.41226,                0.97054,              0.0015068,              0.0015068,              0.0015068
                    139,                0.69395,                0.39637,                0.97264,                0.91281,                0.95086,                0.97749,                0.78685,                0.79628,                0.41558,                0.97764,              0.0015032,              0.0015032,              0.0015032
                    140,                0.69105,                0.39047,                0.97609,                0.90917,                0.93455,                0.97297,                  0.792,                0.79338,                0.42462,                0.98023,              0.0014996,              0.0014996,              0.0014996
                    141,                0.69591,                0.38907,                0.98786,                0.95114,                0.92138,                0.97853,                0.79108,                0.78705,                0.39284,                0.97665,               0.001496,               0.001496,               0.001496
                    142,                0.67844,                0.38255,                 0.9784,                0.92929,                0.92383,                0.97199,                0.79434,                 0.7801,                0.42377,                 0.9755,              0.0014924,              0.0014924,              0.0014924
                    143,                0.68773,                  0.387,                0.97175,                0.92685,                0.93392,                0.97492,                0.78214,                  0.791,                0.42159,                0.97332,              0.0014888,              0.0014888,              0.0014888
                    144,                0.68793,                0.39165,                0.97215,                0.93114,                0.93029,                0.97502,                 0.7916,                0.79974,                0.41393,                0.98681,              0.0014852,              0.0014852,              0.0014852
                    145,                0.67923,                 0.3867,                0.97523,                0.95578,                0.90271,                0.97599,                0.79021,                0.78545,                0.39962,                0.97799,              0.0014816,              0.0014816,              0.0014816
                    146,                0.68639,                0.38094,                0.98062,                0.95749,                0.88943,                0.97407,                0.79457,                 0.7792,                0.40947,                0.97405,               0.001478,               0.001478,               0.001478
                    147,                0.68015,                0.38997,                 0.9739,                0.92853,                0.92572,                0.97586,                0.79476,                0.78062,                0.41224,                0.97102,              0.0014744,              0.0014744,              0.0014744
                    148,                0.67808,                0.38359,                0.97094,                0.92276,                 0.9312,                0.97614,                0.79465,                0.77814,                0.40932,                 0.9711,              0.0014708,              0.0014708,              0.0014708
                    149,                0.69252,                0.38969,                0.97128,                  0.939,                0.90777,                0.97069,                0.78884,                0.78619,                0.41017,                0.97752,              0.0014672,              0.0014672,              0.0014672
                    150,                0.67048,                0.38485,                0.97457,                0.92286,                0.94103,                0.97673,                0.79223,                0.76995,                0.40333,                0.96757,              0.0014636,              0.0014636,              0.0014636
                    151,                0.68201,                0.37952,                0.97068,                 0.9438,                0.90772,                0.97423,                0.79793,                0.77112,                0.41099,                0.96662,                0.00146,                0.00146,                0.00146
                    152,                0.68591,                0.38622,                0.96964,                0.92881,                0.92961,                0.97399,                0.79323,                0.77599,                 0.4145,                0.97406,              0.0014564,              0.0014564,              0.0014564
                    153,                0.67975,                0.37957,                0.97749,                0.92839,                 0.9237,                0.97316,                0.79077,                0.77961,                0.39951,                0.97304,              0.0014528,              0.0014528,              0.0014528
                    154,                0.67204,                0.37822,                0.96698,                0.93595,                 0.9335,                0.97694,                 0.7932,                0.78211,                0.40437,                0.97078,              0.0014492,              0.0014492,              0.0014492
